Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSearchStatus,LastNewJob,AssessBenefits11,Salary,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,IDE,OperatingSystem,NumberMonitors,AdBlocker,AdsAgreeDisagree2,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember
96,Yes,Yes,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Database administrator;Front-end developer,6-8 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,11.0,2500,C#;Python,SQL Server,Windows Desktop or Server,,Visual Studio;Visual Studio Code,Windows,1,No,Somewhat agree,10 (Very Likely),Daily or almost daily,No,,"No, I didn't know that Stack Overflow had a jobs board",,,I'm not sure
105,Yes,Yes,China,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Back-end developer;Full-stack developer;QA or test developer,12-14 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,10.0,550000,Perl;R;SQL,,Linux,,RStudio;Vim,Linux-based,2,No,Neither agree nor disagree,9,Less than once per month or monthly,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,No
122,Yes,No,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",Fewer than 10 employees,Back-end developer;Embedded applications or devices developer;Full-stack developer,0-2 years,0-2 years,I am actively looking for a job,Less than a year ago,7.0,300000,JavaScript;Ruby;SQL;HTML;CSS,MongoDB;Redis;SQL Server,Heroku,React,Sublime Text,MacOS,1,Yes,Somewhat disagree,10 (Very Likely),Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, and I don't know what that is",7,No
294,Yes,No,Japan,"Yes, part-time",Employed part-time,Some college/university study without earning a degree,,500 to 999 employees,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,3-5 years,0-2 years,I am not interested in new job opportunities,Less than a year ago,,1080,Java;JavaScript;PHP;Scala;SQL;Swift;HTML;CSS,MySQL;Elasticsearch,Android;Firebase,,Android Studio;IntelliJ;PHPStorm;Sublime Text,MacOS,2,Yes,Strongly agree,10 (Very Likely),A few times per week,Yes,A few times per week,Yes,"No, I have one but it's out of date",10 (Very Likely),Yes
297,Yes,No,China,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",100 to 499 employees,Back-end developer,0-2 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,,,,,,,,,,,,,,,,,,,
440,Yes,Yes,China,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Mobile developer,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,5.0,,C;JavaScript;Objective-C;SQL;Swift;HTML;CSS;Bash/Shell,,iOS;Mac OS,Spring,Sublime Text;Vim;Xcode,MacOS,2,Yes,Neither agree nor disagree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",Yes,,Yes
456,Yes,No,South Korea,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer;Product manager;System administrator,6-8 years,,,,,,,,,,,,,,,,,,,,,,
479,Yes,No,South Korea,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)","1,000 to 4,999 employees",Back-end developer;Full-stack developer,6-8 years,,,,,,,,,,,,,,,,,,,,,,
569,Yes,No,Singapore,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","5,000 to 9,999 employees",Data scientist or machine learning specialist;Educator or academic researcher,12-14 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,6.0,72000,C++;Julia;Python,,Linux,Django;TensorFlow;Torch/PyTorch,Atom;IntelliJ;Notepad++;PyCharm;Sublime Text,Linux-based,1,Yes,Strongly agree,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
669,Yes,Yes,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Data or business analyst;Database administrator;DevOps specialist;Engineering manager;Full-stack developer,18-20 years,15-17 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,4.0,10000000,Go;Groovy;Java;JavaScript;PHP;Python;Scala;SQL;HTML;CSS;Bash/Shell,Cassandra;Redis;MySQL;Apache Hive;Elasticsearch,Azure,Angular;Hadoop;Spark;Spring,IntelliJ;Sublime Text,MacOS,2,Yes,Somewhat agree,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I have one but it's out of date",,Yes
