Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSearchStatus,LastNewJob,AssessBenefits11,Salary,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,IDE,OperatingSystem,NumberMonitors,AdBlocker,AdsAgreeDisagree2,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember
569,Yes,No,Singapore,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","5,000 to 9,999 employees",Data scientist or machine learning specialist;Educator or academic researcher,12-14 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,6.0,72000,C++;Julia;Python,,Linux,Django;TensorFlow;Torch/PyTorch,Atom;IntelliJ;Notepad++;PyCharm;Sublime Text,Linux-based,1,Yes,Strongly agree,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
1142,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Front-end developer;Full-stack developer,6-8 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,,,C++;Java;JavaScript;SQL;HTML;CSS;Bash/Shell,MongoDB;Oracle;Google Cloud Storage;Elasticsearch,,Hadoop;Node.js;Spark;Spring,Eclipse;IntelliJ;Notepad++;Vim,Linux-based,3,Yes,Somewhat disagree,8,A few times per month or weekly,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,I'm not sure
1886,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,,,C#;JavaScript;HTML;CSS,SQL Server;MySQL;SQLite,Windows Desktop or Server,.NET Core,Visual Studio,Windows,1,I'm not sure/I don't know,Neither agree nor disagree,7,Multiple times per day,Yes,A few times per week,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I have one but it's out of date",,Yes
2208,No,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration",Fewer than 10 employees,Back-end developer;Front-end developer;Full-stack developer,9-11 years,,,,,,,,,,,,,,,,,,,,,,
3285,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Front-end developer;Full-stack developer,9-11 years,9-11 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,11.0,75000,C#;JavaScript;Python;SQL;TypeScript;HTML;CSS,SQL Server,Android;AWS;Google Cloud Platform/App Engine;Windows Desktop or Server;Firebase,Angular;Node.js;React;Cordova,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Windows,2,No,Neither agree nor disagree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",5,Yes
3290,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Designer;Front-end developer;Mobile developer,9-11 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,7.0,5500,JavaScript;Scala;TypeScript;HTML;CSS;Bash/Shell,MongoDB,Android;Azure;iOS,Angular;Node.js;Cordova,Atom;Notepad++;Vim;Visual Studio Code,MacOS,2,Yes,Somewhat agree,9,Multiple times per day,Yes,Multiple times per day,Yes,Yes,8,Yes
3339,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer,21-23 years,18-20 years,I am not interested in new job opportunities,Less than a year ago,5.0,,Java;JavaScript;PHP;Ruby;SQL;HTML;CSS;Bash/Shell,MongoDB;Redis;MySQL;PostgreSQL;SQLite;MariaDB;Google Cloud Storage,Google Cloud Platform/App Engine;Serverless;Firebase,Node.js;React;Cordova;Spring,IPython / Jupyter;Notepad++;Visual Studio Code;Xcode,,2,No,Neither agree nor disagree,8,A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
3549,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Front-end developer;Mobile developer,9-11 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,9.0,3850,JavaScript;Objective-C;PHP;SQL;Swift;HTML;CSS,MySQL;MariaDB,Apple Watch or Apple TV;Google Cloud Platform/App Engine;iOS;Mac OS;Firebase,,Sublime Text;Vim;Xcode,MacOS,2,Yes,Neither agree nor disagree,10 (Very Likely),Daily or almost daily,Yes,A few times per week,Yes,"No, I know what it is but I don't have one",10 (Very Likely),I'm not sure
3912,Yes,No,Singapore,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Desktop or enterprise applications developer;Full-stack developer,6-8 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,3.0,130000,C;C++;C#,,Windows Desktop or Server,,Visual Studio;Visual Studio Code,Windows,2,,,,,,,,,,
4045,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Embedded applications or devices developer;Engineering manager;Full-stack developer;Product manager,30 or more years,24-26 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,4.0,13000,Java;Python;R;Scala;SQL;HTML;CSS;Bash/Shell,MongoDB;PostgreSQL;SQLite;Apache Hive;Neo4j;Elasticsearch,Amazon Echo;Android;AWS;Azure;Linux;Raspberry Pi,Hadoop;Spark;TensorFlow;Torch/PyTorch,Android Studio;Emacs;RStudio;Visual Studio,Linux-based,2,Yes,Somewhat agree,10 (Very Likely),Multiple times per day,I'm not sure / I can't remember,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,I'm not sure
