id,hobby,degree,major,desiredJob,projectExperience,skills
569,True,"[False, False, False, True, False, False, False, False]","[False, False, False, False, False, True, False, False, False, False, False, False]","['Data scientist or machine learning specialist', 'Educator or academic researcher']","[False, True, False, False, False, False, False, False, False, False, False]","['C++', 'Julia', 'Python', 'Linux', 'Atom', 'IntelliJ', 'Notepad++', 'PyCharm', 'Sublime Text', 'Linux-based']"
1142,True,"[False, True, False, False, False, False, False, False]","[False, False, False, False, False, False, True, False, False, False, False, False]","['Back-end developer', 'Front-end developer', 'Full-stack developer']","[False, False, False, False, False, False, False, False, False, True, False]","['C++', 'Java', 'JavaScript', 'SQL', 'HTML', 'CSS', 'Bash/Shell', 'MongoDB', 'Oracle', 'Google Cloud Storage', 'Elasticsearch', 'Eclipse', 'IntelliJ', 'Notepad++', 'Vim', 'Linux-based']"
1886,True,"[False, True, False, False, False, False, False, False]","[False, False, False, False, False, False, True, False, False, False, False, False]","['Back-end developer', 'Desktop or enterprise applications developer', 'Front-end developer', 'Full-stack developer']","[False, False, False, False, False, False, False, True, False, False, False]","['C#', 'JavaScript', 'HTML', 'CSS', 'SQL Server', 'MySQL', 'SQLite', 'Windows Desktop or Server', 'Visual Studio', 'Windows']"
2208,False,"[False, False, True, False, False, False, False, False]","[False, False, False, False, False, False, False, False, False, True, False, False]","['Back-end developer', 'Front-end developer', 'Full-stack developer']","[False, False, False, False, False, False, False, False, False, False, True]",[]
3285,True,"[False, True, False, False, False, False, False, False]","[False, False, False, False, False, False, True, False, False, False, False, False]","['Back-end developer', 'Front-end developer', 'Full-stack developer']","[False, False, False, False, False, False, False, False, False, False, True]","['C#', 'JavaScript', 'Python', 'SQL', 'TypeScript', 'HTML', 'CSS', 'SQL Server', 'Android', 'AWS', 'Google Cloud Platform/App Engine', 'Windows Desktop or Server', 'Firebase', 'Android Studio', 'Notepad++', 'Visual Studio', 'Visual Studio Code', 'Windows']"
3290,True,"[False, True, False, False, False, False, False, False]","[False, False, False, False, False, False, True, False, False, False, False, False]","['Designer', 'Front-end developer', 'Mobile developer']","[False, False, False, False, False, False, False, False, False, False, True]","['JavaScript', 'Scala', 'TypeScript', 'HTML', 'CSS', 'Bash/Shell', 'MongoDB', 'Android', 'Azure', 'iOS', 'Atom', 'Notepad++', 'Vim', 'Visual Studio Code', 'MacOS']"
3339,True,"[False, True, False, False, False, False, False, False]","[False, False, False, False, False, True, False, False, False, False, False, False]","['Back-end developer', 'Front-end developer', 'Full-stack developer']","[False, False, False, False, True, False, False, False, False, False, False]","['Java', 'JavaScript', 'PHP', 'Ruby', 'SQL', 'HTML', 'CSS', 'Bash/Shell', 'MongoDB', 'Redis', 'MySQL', 'PostgreSQL', 'SQLite', 'MariaDB', 'Google Cloud Storage', 'Google Cloud Platform/App Engine', 'Serverless', 'Firebase', 'IPython / Jupyter', 'Notepad++', 'Visual Studio Code', 'Xcode']"
3549,True,"[False, True, False, False, False, False, False, False]","[False, False, False, False, False, False, True, False, False, False, False, False]","['Front-end developer', 'Mobile developer']","[False, False, False, False, False, False, False, False, False, False, True]","['JavaScript', 'Objective-C', 'PHP', 'SQL', 'Swift', 'HTML', 'CSS', 'MySQL', 'MariaDB', 'Apple Watch or Apple TV', 'Google Cloud Platform/App Engine', 'iOS', 'Mac OS', 'Firebase', 'Sublime Text', 'Vim', 'Xcode', 'MacOS']"
3912,True,"[False, False, True, False, False, False, False, False]","[False, False, False, False, False, False, True, False, False, False, False, False]","['Desktop or enterprise applications developer', 'Full-stack developer']","[False, False, False, False, False, False, False, False, False, True, False]","['C', 'C++', 'C#', 'Windows Desktop or Server', 'Visual Studio', 'Visual Studio Code', 'Windows']"
4045,True,"[False, False, True, False, False, False, False, False]","[False, False, False, False, False, False, True, False, False, False, False, False]","['Back-end developer', 'Data or business analyst', 'Data scientist or machine learning specialist', 'Desktop or enterprise applications developer', 'Embedded applications or devices developer', 'Engineering manager', 'Full-stack developer', 'Product manager']","[False, False, False, False, False, False, False, False, True, False, False]","['Java', 'Python', 'R', 'Scala', 'SQL', 'HTML', 'CSS', 'Bash/Shell', 'MongoDB', 'PostgreSQL', 'SQLite', 'Apache Hive', 'Neo4j', 'Elasticsearch', 'Amazon Echo', 'Android', 'AWS', 'Azure', 'Linux', 'Raspberry Pi', 'Android Studio', 'Emacs', 'RStudio', 'Visual Studio', 'Linux-based']"
